"league_id","year","team_name","team_id","ra","rs","diff","wins","losses"
103,2012,"New York Yankees",147,668,804,136,95,67
103,2012,"Baltimore Orioles",110,705,712,7,93,69
103,2012,"Tampa Bay Rays",139,577,697,120,90,72
103,2012,"Toronto Blue Jays",141,784,716,-68,73,89
103,2012,"Boston Red Sox",111,806,734,-72,69,93
103,2012,"Detroit Tigers",116,670,726,56,88,74
103,2012,"Chicago White Sox",145,676,748,72,85,77
103,2012,"Kansas City Royals",118,746,676,-70,72,90
103,2012,"Cleveland Guardians",114,845,667,-178,68,94
103,2012,"Minnesota Twins",142,832,701,-131,66,96
103,2012,"Oakland Athletics",133,614,713,99,94,68
103,2012,"Texas Rangers",140,707,808,101,93,69
103,2012,"Los Angeles Angels",108,699,767,68,89,73
103,2012,"Seattle Mariners",136,651,619,-32,75,87
104,2012,"Washington Nationals",120,594,731,137,98,64
104,2012,"Atlanta Braves",144,600,700,100,94,68
104,2012,"Philadelphia Phillies",143,680,684,4,81,81
104,2012,"New York Mets",121,709,650,-59,74,88
104,2012,"Miami Marlins",146,724,609,-115,69,93
104,2012,"Cincinnati Reds",113,588,669,81,97,65
104,2012,"St. Louis Cardinals",138,648,765,117,88,74
104,2012,"Milwaukee Brewers",158,733,776,43,83,79
104,2012,"Pittsburgh Pirates",134,674,651,-23,79,83
104,2012,"Chicago Cubs",112,759,613,-146,61,101
104,2012,"Houston Astros",117,794,583,-211,55,107
104,2012,"San Francisco Giants",137,649,718,69,94,68
104,2012,"Los Angeles Dodgers",119,597,637,40,86,76
104,2012,"Arizona Diamondbacks",109,688,734,46,81,81
104,2012,"San Diego Padres",135,710,651,-59,76,86
104,2012,"Colorado Rockies",115,890,758,-132,64,98
103,2013,"Boston Red Sox",111,656,853,197,97,65
103,2013,"Tampa Bay Rays",139,646,700,54,92,71
103,2013,"Baltimore Orioles",110,709,745,36,85,77
103,2013,"New York Yankees",147,671,650,-21,85,77
103,2013,"Toronto Blue Jays",141,756,712,-44,74,88
103,2013,"Detroit Tigers",116,624,796,172,93,69
103,2013,"Cleveland Guardians",114,662,745,83,92,70
103,2013,"Kansas City Royals",118,601,648,47,86,76
103,2013,"Minnesota Twins",142,788,614,-174,66,96
103,2013,"Chicago White Sox",145,723,598,-125,63,99
103,2013,"Oakland Athletics",133,625,767,142,96,66
103,2013,"Texas Rangers",140,636,730,94,91,72
103,2013,"Los Angeles Angels",108,737,733,-4,78,84
103,2013,"Seattle Mariners",136,754,624,-130,71,91
103,2013,"Houston Astros",117,848,610,-238,51,111
104,2013,"Atlanta Braves",144,548,688,140,96,66
104,2013,"Washington Nationals",120,626,656,30,86,76
104,2013,"New York Mets",121,684,619,-65,74,88
104,2013,"Philadelphia Phillies",143,749,610,-139,73,89
104,2013,"Miami Marlins",146,646,513,-133,62,100
104,2013,"St. Louis Cardinals",138,596,783,187,97,65
104,2013,"Pittsburgh Pirates",134,577,634,57,94,68
104,2013,"Cincinnati Reds",113,589,698,109,90,72
104,2013,"Milwaukee Brewers",158,687,640,-47,74,88
104,2013,"Chicago Cubs",112,689,602,-87,66,96
104,2013,"Los Angeles Dodgers",119,582,649,67,92,70
104,2013,"Arizona Diamondbacks",109,695,685,-10,81,81
104,2013,"San Diego Padres",135,700,618,-82,76,86
104,2013,"San Francisco Giants",137,691,629,-62,76,86
104,2013,"Colorado Rockies",115,760,706,-54,74,88
103,2014,"Baltimore Orioles",110,593,705,112,96,66
103,2014,"New York Yankees",147,664,633,-31,84,78
103,2014,"Toronto Blue Jays",141,686,723,37,83,79
103,2014,"Tampa Bay Rays",139,625,612,-13,77,85
103,2014,"Boston Red Sox",111,715,634,-81,71,91
103,2014,"Detroit Tigers",116,705,757,52,90,72
103,2014,"Kansas City Royals",118,624,651,27,89,73
103,2014,"Cleveland Guardians",114,653,669,16,85,77
103,2014,"Chicago White Sox",145,758,660,-98,73,89
103,2014,"Minnesota Twins",142,777,715,-62,70,92
103,2014,"Los Angeles Angels",108,630,773,143,98,64
103,2014,"Oakland Athletics",133,572,729,157,88,74
103,2014,"Seattle Mariners",136,554,634,80,87,75
103,2014,"Houston Astros",117,723,629,-94,70,92
